country,year,npaper
Brunei,1989,1
Brunei,1990,2
Brunei,1991,1
Brunei,1992,0
Brunei,1993,0
Brunei,1994,1
Brunei,1995,3
Brunei,1996,1
Brunei,1997,3
Brunei,1998,0
Brunei,1999,1
Brunei,2000,2
Brunei,2001,2
Brunei,2002,1
Brunei,2003,0
Brunei,2004,0
Brunei,2005,0
Brunei,2006,2
Brunei,2007,0
Brunei,2008,0
Brunei,2009,0
Brunei,2010,0
Brunei,2011,0
Brunei,2012,3
Brunei,2013,2
Brunei,2014,1
Brunei,2015,1
Brunei,2016,2
Brunei,2017,3
Brunei,2018,3
Brunei,2019,3
Brunei,2020,2
Brunei,2021,5
Cambodia,2002,1
Cambodia,2003,2
Cambodia,2004,1
Cambodia,2005,0
Cambodia,2006,0
Cambodia,2007,1
Cambodia,2008,0
Cambodia,2009,1
Cambodia,2010,0
Cambodia,2011,1
Cambodia,2012,2
Cambodia,2013,4
Cambodia,2014,2
Cambodia,2015,2
Cambodia,2016,5
Cambodia,2017,4
Cambodia,2018,3
Cambodia,2019,3
Cambodia,2020,9
Cambodia,2021,1
Indonesia,1977,0
Indonesia,1978,0
Indonesia,1979,0
Indonesia,1980,0
Indonesia,1981,0
Indonesia,1982,0
Indonesia,1983,0
Indonesia,1984,1
Indonesia,1985,0
Indonesia,1986,0
Indonesia,1987,1
Indonesia,1988,0
Indonesia,1989,1
Indonesia,1990,4
Indonesia,1991,5
Indonesia,1992,1
Indonesia,1993,2
Indonesia,1994,6
Indonesia,1997,9
Indonesia,1998,4
Indonesia,1999,3
Indonesia,2000,10
Indonesia,2001,5
Indonesia,2002,6
Indonesia,2003,6
Indonesia,2004,9
Indonesia,2005,14
Indonesia,2006,13
Indonesia,2007,11
Indonesia,2008,8
Indonesia,2009,23
Indonesia,2010,19
Indonesia,2011,16
Indonesia,2012,37
Indonesia,2013,44
Indonesia,2014,37
Indonesia,2015,57
Indonesia,2016,74
Indonesia,2017,131
Indonesia,2018,198
Indonesia,2019,160
Indonesia,2020,219
Indonesia,2021,60
Lao,2013,2
Lao,2014,2
Lao,2015,0
Lao,2016,1
Lao,2017,5
Lao,2018,1
Lao,2019,3
Lao,2020,1
Malaysia,1973,1
Malaysia,1974,1
Malaysia,1975,0
Malaysia,1976,1
Malaysia,1977,0
Malaysia,1978,1
Malaysia,1979,1
Malaysia,1980,1
Malaysia,1981,1
Malaysia,1982,2
Malaysia,1983,0
Malaysia,1984,1
Malaysia,1985,1
Malaysia,1986,2
Malaysia,1987,0
Malaysia,1988,1
Malaysia,1989,4
Malaysia,1990,4
Malaysia,1991,2
Malaysia,1992,5
Malaysia,1993,6
Malaysia,1994,16
Malaysia,1995,9
Malaysia,1996,10
Malaysia,1997,9
Malaysia,1998,8
Malaysia,1999,8
Malaysia,2000,6
Malaysia,2001,9
Malaysia,2002,9
Malaysia,2003,9
Malaysia,2004,10
Malaysia,2005,5
Malaysia,2006,13
Malaysia,2007,29
Malaysia,2008,22
Malaysia,2009,27
Malaysia,2010,36
Malaysia,2011,45
Malaysia,2012,54
Malaysia,2013,63
Malaysia,2014,61
Malaysia,2015,75
Malaysia,2016,76
Malaysia,2017,85
Malaysia,2018,103
Malaysia,2019,86
Malaysia,2020,125
Malaysia,2021,57
Myanmar,2002,3
Myanmar,2003,0
Myanmar,2004,2
Myanmar,2005,1
Myanmar,2006,1
Myanmar,2007,1
Myanmar,2008,2
Myanmar,2009,0
Myanmar,2010,0
Myanmar,2011,0
Myanmar,2012,0
Myanmar,2013,1
Myanmar,2014,2
Myanmar,2015,3
Myanmar,2016,6
Myanmar,2017,4
Myanmar,2018,7
Myanmar,2019,5
Myanmar,2020,5
Myanmar,2021,6
Philippines,1973,1
Philippines,1974,1
Philippines,1975,0
Philippines,1976,1
Philippines,1977,0
Philippines,1978,1
Philippines,1979,4
Philippines,1980,1
Philippines,1981,1
Philippines,1982,2
Philippines,1983,1
Philippines,1984,1
Philippines,1985,2
Philippines,1986,2
Philippines,1987,3
Philippines,1988,3
Philippines,1989,5
Philippines,1990,4
Philippines,1991,9
Philippines,1992,5
Philippines,1993,8
Philippines,1994,18
Philippines,1995,11
Philippines,1996,13
Philippines,1997,13
Philippines,1998,10
Philippines,1999,15
Philippines,2000,22
Philippines,2001,18
Philippines,2002,15
Philippines,2003,16
Philippines,2004,23
Philippines,2005,16
Philippines,2006,22
Philippines,2007,46
Philippines,2008,32
Philippines,2009,39
Philippines,2010,52
Philippines,2011,64
Philippines,2012,68
Philippines,2013,82
Philippines,2014,81
Philippines,2015,96
Philippines,2016,114
Philippines,2017,112
Philippines,2018,138
Philippines,2019,122
Philippines,2020,161
Philippines,2021,11
Singapore,1977,1
Singapore,1988,2
Singapore,1989,0
Singapore,1990,0
Singapore,1991,3
Singapore,1992,1
Singapore,1993,2
Singapore,1994,6
Singapore,1995,5
Singapore,1996,4
Singapore,1997,4
Singapore,1998,2
Singapore,1999,3
Singapore,2000,3
Singapore,2001,3
Singapore,2002,3
Singapore,2003,3
Singapore,2004,6
Singapore,2005,4
Singapore,2006,5
Singapore,2007,6
Singapore,2008,3
Singapore,2009,5
Singapore,2010,3
Singapore,2011,5
Singapore,2012,6
Singapore,2013,6
Singapore,2014,6
Singapore,2015,22
Singapore,2016,13
Singapore,2017,11
Singapore,2018,9
Singapore,2019,8
Singapore,2020,7
Singapore,2021,9
Thailand,1978,2
Thailand,1979,1
Thailand,1980,1
Thailand,1981,1
Thailand,1982,1
Thailand,1983,0
Thailand,1984,0
Thailand,1985,1
Thailand,1986,0
Thailand,1987,2
Thailand,1988,0
Thailand,1989,1
Thailand,1990,1
Thailand,1991,3
Thailand,1992,2
Thailand,1993,2
Thailand,1994,5
Thailand,1995,7
Thailand,1996,4
Thailand,1997,4
Thailand,1998,7
Thailand,1999,5
Thailand,2000,11
Thailand,2001,11
Thailand,2002,25
Thailand,2003,16
Thailand,2004,11
Thailand,2005,14
Thailand,2006,20
Thailand,2007,14
Thailand,2008,35
Thailand,2009,23
Thailand,2010,24
Thailand,2011,23
Thailand,2012,26
Thailand,2013,49
Thailand,2014,16
Thailand,2015,29
Thailand,2016,32
Thailand,2017,40
Thailand,2018,41
Thailand,2019,35
Thailand,2020,44
Thailand,2021,23
Vietnam,1983,1
Vietnam,1984,0
Vietnam,1985,0
Vietnam,1986,0
Vietnam,1987,0
Vietnam,1988,0
Vietnam,1989,0
Vietnam,1990,0
Vietnam,1991,0
Vietnam,1992,0
Vietnam,1993,0
Vietnam,1994,1
Vietnam,1995,1
Vietnam,1996,0
Vietnam,1997,1
Vietnam,1998,1
Vietnam,1999,1
Vietnam,2000,7
Vietnam,2001,4
Vietnam,2002,5
Vietnam,2003,7
Vietnam,2004,6
Vietnam,2005,4
Vietnam,2006,11
Vietnam,2007,9
Vietnam,2008,6
Vietnam,2009,14
Vietnam,2010,9
Vietnam,2011,9
Vietnam,2012,14
Vietnam,2013,20
Vietnam,2014,20
Vietnam,2015,31
Vietnam,2016,28
Vietnam,2017,54
Vietnam,2018,37
Vietnam,2019,53
Vietnam,2020,54
Vietnam,2021,35
Vietnam,2022,2
SEAsia,1973,2
SEAsia,1974,2
SEAsia,1975,0
SEAsia,1976,2
SEAsia,1977,2
SEAsia,1978,4
SEAsia,1979,6
SEAsia,1980,3
SEAsia,1981,3
SEAsia,1982,5
SEAsia,1983,3
SEAsia,1984,3
SEAsia,1985,4
SEAsia,1986,5
SEAsia,1987,6
SEAsia,1988,6
SEAsia,1989,12
SEAsia,1990,15
SEAsia,1991,23
SEAsia,1992,14
SEAsia,1993,20
SEAsia,1994,53
SEAsia,1995,36
SEAsia,1996,32
SEAsia,1997,43
SEAsia,1998,32
SEAsia,1999,36
SEAsia,2000,61
SEAsia,2001,52
SEAsia,2002,67
SEAsia,2003,57
SEAsia,2004,67
SEAsia,2005,58
SEAsia,2006,87
SEAsia,2007,116
SEAsia,2008,108
SEAsia,2009,131
SEAsia,2010,143
SEAsia,2011,163
SEAsia,2012,208
SEAsia,2013,269
SEAsia,2014,226
SEAsia,2015,314
SEAsia,2016,346
SEAsia,2017,445
SEAsia,2018,537
SEAsia,2019,475
SEAsia,2020,618
SEAsia,2021,275